,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
19815022,Time manage your reading /,"Rudd, Shirley,",428.43 Ru914T, Books & Reading,"Gower,",1989,0,https://libswu.on.worldcat.org/oclc/19815022
54501289,The power of reading :insights from the research /,"Krashen, Stephen D.,",028.9 Kr89P, Books & Reading,"Libraries Unlimited ;Heinemann,",2004,2,https://libswu.on.worldcat.org/oclc/54501289
54501289,The power of reading :insights from the research /,"Krashen, Stephen D.,",028.9 Kr89P  c.2, Books & Reading,"Libraries Unlimited ;Heinemann,",2004,2,https://libswu.on.worldcat.org/oclc/54501289
62172776,"Reading matters :what the research reveals about reading, libraries, and community /","Ross, Catherine Sheldrick,; McKechnie, Lynne,Rothbauer, Paulette M.,",028.9 Ro823R, Books & Reading,"Libraries Unlimited,",2006,0,https://libswu.on.worldcat.org/oclc/62172776
62179187,Book by book :notes on reading and life /,"Dirda, Michael.",028.9 Di598B 2006, Books & Reading,"Henry Holt,",2006,0,https://libswu.on.worldcat.org/oclc/62179187
187338089,Reading for life :developing the college student's lifetime reading /,"Conference on the Undergraduate and Lifetime Reading Interest; Price, Jacob M.,",028.9 Pr, Books & Reading,"University of Michigan Press,",1959,0,https://libswu.on.worldcat.org/oclc/187338089
856188180,Reading and the reader /,"Davis, Philip",028.9 Da263R 2013, Books & Reading,"Oxford University Press,",2013,0,https://libswu.on.worldcat.org/oclc/856188180
860796700,หนังสือปลุกพลังชีวิต /,"แคนฟิลด์, แจ๊ค,; เฮนดริคส์, เกย์; ภคปภา เทพพิทักษ์; เครือแข โพธิ์ทอง",158 ค927ห, Books & Reading,"เวิร์คพอยท์,",2010,0,https://libswu.on.worldcat.org/oclc/860796700
868032764,การอ่านเพื่อพัฒนาคุณภาพชีวิต =Reading for improving life quality /,จิรวัฒน์ เพชรรัตน์.; อัมพร ทองใบ.,028 จ512ก 2556, Books & Reading,"โอเดียนสโตร์,",2013,0,https://libswu.on.worldcat.org/oclc/868032764
932045475,"ฉันอ่าน ฉันจึงเป็น =I read, therefore I am /",สิริญา ใจบุญ.,028 ส731ฉ 2557, Books & Reading,"ปราณ,",2014,0,https://libswu.on.worldcat.org/oclc/932045475
982668986,Narrative as virtual reality 2 :revisiting immersion and interactivity in literature and electronic media /,"Ryan, Marie-Laure,",028.9 Ry989N 2015, Books & Reading,"Johns Hopkins University Press,",2015,0,https://libswu.on.worldcat.org/oclc/982668986
1008504228,Enjoying books /,"Trease, Geoffrey,; C. Tinling & Co. Ltd,London Borough of Camden.Phoenix House, Ltd.,",028.55 Tr784E, Books & Reading,"Phoenix House,",1963,0,https://libswu.on.worldcat.org/oclc/1008504228
1465469420,Planning and organizing reading campaigns :a guide of developing countries.,N/A,028 Pl712, Books & Reading,"Unesco,",1983,0,https://libswu.on.worldcat.org/oclc/1465469420
1465599894,You've got to read this book! /,"Canfield, Jack.; Hendricks, Gay.Kline, Caro.",028.8 Ca222Y 2007, Books & Reading,"Harper,",2007,0,https://libswu.on.worldcat.org/oclc/1465599894
2837738,Writing and communicating in business /,"Janis, J. Harold",651.74 Ja33W, Business Communication,"Macmillan,",1978,0,https://libswu.on.worldcat.org/oclc/2837738
7999069,How to write better business letters /,"Geffner, Andrea B.",808.066651 Ge299H  c.2, Business Communication,"Barron's Educational Series,",1982,0,https://libswu.on.worldcat.org/oclc/7999069
8764520,The concise business correspondence style guide /,"Swindle, Robert E.",808.066651 Sw978C, Business Communication,"Prentice-Hall,",1983,0,https://libswu.on.worldcat.org/oclc/8764520
8973524,Business matters :practice materials for business communication in English /,"McKellen, J. S.; Spooner, M. D.",651.75 Ma154B, Business Communication,"Pergamon Press,",1982,0,https://libswu.on.worldcat.org/oclc/8973524
9771305,Pitman business correspondence /,"Whitehead, Geoffrey.; Whitehead, David H.",651.75 Wh592P, Business Communication,"Pitman,",1982,0,https://libswu.on.worldcat.org/oclc/9771305
9827048,Readings and cases in business communication /,"Golen, Steven.Figgins, Ross.Smeltzer, Larry R.",658.45 Go625R, Business Communication,"J. Wiley,",1984,0,https://libswu.on.worldcat.org/oclc/9827048
11158927,Language from nine to five :developing business communication skills /,"Rietmann, Kearney,",658.45 Ri563L, Business Communication,"Prentice Hall,",1985,0,https://libswu.on.worldcat.org/oclc/11158927
12708157,Handbook for business writing /,"Baugh, L. Sue.; Fryar, Maridell.Thomas, David A.",651.74 Ba346H, Business Communication,"NTC Business Books,",1986,0,https://libswu.on.worldcat.org/oclc/12708157
13330623,Organizational writing /,"Bielawski, Larry.; Parks, A. Franklin.",808.066651 Bi587O, Business Communication,"Wadsworth Pub. Co.,",1987,0,https://libswu.on.worldcat.org/oclc/13330623
16428579,Business letters for all /,"Naterop, Bertha J.; Weis, Erich.Haberfellner, Eva.",651.75 Na273B, Business Communication,"Oxford University Press,",1978,0,https://libswu.on.worldcat.org/oclc/16428579
17108809,Webster's guide to business correspondence.,"Merriam-Webster, Inc.",651.75 We384  c.2, Business Communication,"Merriam-Webster,",1988,0,https://libswu.on.worldcat.org/oclc/17108809
17546384,Introduction to business communication /,"Quible, Zane K.,; Johnson, Margaret H.Mott, Dennis L.",658.45 Qu6I, Business Communication,"Prentice Hall,",1988,0,https://libswu.on.worldcat.org/oclc/17546384
18990450,Communication for business and the professions /,"Treece, Malra.",658.45 Tr786C 1989, Business Communication,"Allyn and Bacon,",1989,0,https://libswu.on.worldcat.org/oclc/18990450
20264868,The consultant's guide to proposal writing :how to satisfy your client and double your income /,"Holtz, Herman.",808.066658 Ho758C, Business Communication,"Wiley,",1990,0,https://libswu.on.worldcat.org/oclc/20264868
22731462,450 best sales letters for every selling situation /,"Gilleland, Karen.; Coel, Margaret,",658.81 Fo773, Business Communication,"Prentice Hall,",1991,0,https://libswu.on.worldcat.org/oclc/22731462
27811057,Power reading :a dynamic system for mastering all your business reading /,"Mindell, Phyllis,",428.43 Mi663P, Business Communication,"Prentice Hall,",1993,0,https://libswu.on.worldcat.org/oclc/27811057
28025824,Learning workplace writing /,"Rice, Judith R.,",808.06665 Ri496L, Business Communication,"Prentice Hall,",1994,0,https://libswu.on.worldcat.org/oclc/28025824
28338358,The new handbook of business letters /,"Griffin, Jack.",808.066651 Gr851N, Business Communication,"Prentice Hall,",1993,0,https://libswu.on.worldcat.org/oclc/28338358
28675594,Communication for managers /,"Sigband, Norman B.; Sigband, Norman B.Sigband, Norman B.",658.45 Si574C, Business Communication,"South-Western Pub.,",1994,0,https://libswu.on.worldcat.org/oclc/28675594
28891891,The McGraw-Hill 36-hour course :business presentations /,"Arredondo, Lani.",658.452 Ar774M, Business Communication,"McGraw-Hill,",1994,0,https://libswu.on.worldcat.org/oclc/28891891
29478369,Handbook for business professionals /,"Clark, James L.; Clark, Lyn.",808.06665 Cl592H, Business Communication,"Wadsworth Pub. Co.,",1994,0,https://libswu.on.worldcat.org/oclc/29478369
30318316,Communicate with confidence! :how to say it right the first time and every time /,"Booher, Dianna Daniels,",651.73 Bo724C, Business Communication,"McGraw-Hill,",1994,0,https://libswu.on.worldcat.org/oclc/30318316
31410890,The write business reference /,"Fassiotto, Michael.; Kop, Melba.Kuriyama, Carolyn.; Communicate, Inc.",808.06665 Fa249W, Business Communication,"Prentice Hall,",1995,0,https://libswu.on.worldcat.org/oclc/31410890
31969836,Quick tips for better business writing /,"Blake, Gary.",808.06665 Bl636Q, Business Communication,"McGraw-Hill,",1995,0,https://libswu.on.worldcat.org/oclc/31969836
32269137,Professional writing skills :a self-paced training program /,"Chan, Janis Fisher.; Lutovich, Diane,",428.2076 Ch454P, Business Communication,"Advanced Communication Designs,",1991,0,https://libswu.on.worldcat.org/oclc/32269137
32273740,Business communications /,"Lehman, Carol M.; Himstreet, William C.Baty, Wayne Murlin.",658.45 Le523B, Business Communication,"South-Western College Pub.,",1996,0,https://libswu.on.worldcat.org/oclc/32273740
32544985,How to think on your feet /,"Quinn, Patrick,",302.3 Qu7H, Business Communication,"Kogan Page,",1994,0,https://libswu.on.worldcat.org/oclc/32544985
33381375,Meetings that work! :a practical guide to shorter and more productive meetings /,"Chang, Richard Y.; Kehoe, Kevin R.",658.456 Ch456M, Business Communication,"Kogan Page,",1995,0,https://libswu.on.worldcat.org/oclc/33381375
34476924,"TeamThink :72 ways to make good, smart, quick decisions in any meeting /","Butler, Ava S.",658.4036 Bu985T, Business Communication,"McGraw-Hill,",1996,0,https://libswu.on.worldcat.org/oclc/34476924
35391280,Business communication :process & product /,"Guffey, Mary Ellen.",651.7 Gu941B 1997, Business Communication,"South-Western College Pub.,",1997,0,https://libswu.on.worldcat.org/oclc/35391280
37024781,HOW 8 :a handbook for office workers /,"Clark, James L.; Clark, Lyn.Clark, James L.",808.06665 Cl592H, Business Communication,"South-Western College Pub.,",1998,0,https://libswu.on.worldcat.org/oclc/37024781
40891125,Business English for the 21st century /,"Ellison, Pat Taylor.; Barry, Robert E.,McCormick, James Scannell.",808.066651 El47B, Business Communication,"Prentice Hall,",2000,0,https://libswu.on.worldcat.org/oclc/40891125
41309586,Business communications :international case studies in English /,"Rodgers, Drew.",658.45 Ro691B, Business Communication,"Cambridge University Press,",1998,0,https://libswu.on.worldcat.org/oclc/41309586
41621203,Making presentations /,"Hindle, Tim.",808.51 Hi662M, Business Communication,"Dorling Kindersley,",1998,0,https://libswu.on.worldcat.org/oclc/41621203
42932022,Rules of thumb for business writers /,"Wienbroer, Diana Roberts.; Hughes, Elaine.Silverman, Jay,",651.74 Wi647R  c.3, Business Communication,"McGraw-Hill,",2000,0,https://libswu.on.worldcat.org/oclc/42932022
47797842,Professional communication in international settings /,"Pan, Yuling.; Scollon, Suzanne B. K.Scollon, Ronald,",384 Pa187P, Business Communication,"Blackwell Publishers,",2002,0,https://libswu.on.worldcat.org/oclc/47797842
48363231,Business vocabulary in use /,"Mascull, Bill,",428.202465 Ma395B, Business Communication,"Cambridge University Press,",2002,0,https://libswu.on.worldcat.org/oclc/48363231
52567357,Presentations /,"Laws, Anne.",808.51 La425P, Business Communication,"Summertown,",2000,0,https://libswu.on.worldcat.org/oclc/52567357
55671516,Strategic business letters and e-mail /,"Lindsell-Roberts, Sheryl.",651.75 Li751S, Business Communication,"Houghton Mifflin,",2004,0,https://libswu.on.worldcat.org/oclc/55671516
56596677,Show me the numbers :designing tables and graphs to enlighten /,"Few, Stephen.",658.45 Fe432S, Business Communication,"Analytics Press,",2004,0,https://libswu.on.worldcat.org/oclc/56596677
62164143,The McGraw-Hill handbook of business letters /,"Poe, Roy W.,",500.2 Ti575P 2014, Business Communication,"McGraw-Hill,",2006,0,https://libswu.on.worldcat.org/oclc/62164143
62164143,The McGraw-Hill handbook of business letters /,"Poe, Roy W.,",651.75 P0743M 2006, Business Communication,"McGraw-Hill,",2006,0,https://libswu.on.worldcat.org/oclc/62164143
71004682,Test your Business vocabulary in use.,"Godwin, Joy.; Strutt, Lyn.Mascull, Bill.",428.24 Go591T 2005, Business Communication,"Cambridge University Press,",2005,0,https://libswu.on.worldcat.org/oclc/71004682
152580220,Business letters for all /,"Weis, Erich.Haberfellner, Eva.",651.75 Na273B 2001, Business Communication,"Oxford University Press,",1977,0,https://libswu.on.worldcat.org/oclc/152580220
169873526,The 7 triggers to yes :the new science behind influencing people's decisions /,"Granger, Russell H.",658.45 Gr758S, Business Communication,"McGraw-Hill,",2008,0,https://libswu.on.worldcat.org/oclc/169873526
173719684,"Corporate communications :convention, complexity, and critique /","Christensen, Lars Thøger,; Morsing, Mette.Cheney, George.",658.45 Ch554C, Business Communication,"Sage Publications,",2008,0,https://libswu.on.worldcat.org/oclc/173719684
191922390,Essentials of business communication /,"Guffey, Mary Ellen.; Du-Babcock, Bertha.",808.06665 Gu941E, Business Communication,"Thomson,",2008,0,https://libswu.on.worldcat.org/oclc/191922390
319211426,New approaches to discourse and business communication /,"Ramallo, Fernando F.",658.45 Ne532(2) 2009, Business Communication,"Palgrave Macmillan,",2009,0,https://libswu.on.worldcat.org/oclc/319211426
320803508,Business and administrative communication /,"Locker, Kitty O.; Kienzler, Donna S.",651.7 Lo815B 2010, Business Communication,"McGraw-Hill/Irwin,",2010,0,https://libswu.on.worldcat.org/oclc/320803508
394980755,Communicative business English /,Kusumal Rajatanun.,428.202465 Ku97C 1989  c.2, Business Communication,"Thammasat University Press,",1989,0,https://libswu.on.worldcat.org/oclc/394980755
500197823,The language of English business letters.,"Kench, A. B.",651.75 Ke33L, Business Communication,"McMillan,",1978,0,https://libswu.on.worldcat.org/oclc/500197823
535491433,The language of business meetings /,"Handford, Michael,",658.456 Ha236L 2010, Business Communication,"Cambridge University Press,",2010,0,https://libswu.on.worldcat.org/oclc/535491433
657299679,การเขียนเชิงราชการ :หนังสือราชการ รายงานการประชุม ภาษาไทยและภาษาอังกฤษ /,วรวรรธน์ ศรียาภัย.,808.066 ว276ก, Business Communication,"สัมปชัญญะ,",2010,0,https://libswu.on.worldcat.org/oclc/657299679
665475690,ฝึกโต้ตอบประโยคและเขียนข้อความผ่านอีเมล (เพื่องานสื่อสาร การค้า และสนทนาทั่วไป) /,กมลวัต ณัฐวรา.,428.24 ก137ฝ, Business Communication,"เจ.บี.พับลิชชิ่ง,",2009,0,https://libswu.on.worldcat.org/oclc/665475690
679913603,English for work /,Sucharat Rimkeeratikul.,428 Su942E 2005, Business Communication,"Thammasat University Press,",2005,0,https://libswu.on.worldcat.org/oclc/679913603
683028885,ฟังคิดอ่านเขียน :รวมทุกศาสตร์เพื่อทำให้คุณฉลาด /,ฝ่ายวิชาการบิสคิต,658.45 ฟ221 2549, Business Communication,"บิสคิต,",2006,0,https://libswu.on.worldcat.org/oclc/683028885
707916434,เ่กง Presentation อ่ยาง สีตฟ ๊จอบ์ส /,"แกลโล, คา์รไม์น.; ศรัชย จาิตกวิณช.; ประิสทิ์ธัชย ีวระุยทธิวไล.",658.452 ก412ก, Business Communication,"แมคกรอ-ิฮล,",2010,0,https://libswu.on.worldcat.org/oclc/707916434
714728198,Communicating across cultures /,"Dignen, Bob.",428.24 Di575C 2014, Business Communication,"Cambridge University Press,",2011,0,https://libswu.on.worldcat.org/oclc/714728198
727106722,Dynamic presentations /,"Powell, Mark.",658.452 Po885D 2014, Business Communication,"Cambridge University Press,",2011,0,https://libswu.on.worldcat.org/oclc/727106722
727357262,Business and professional communication in the global workplace /,"Goodall, H. Lloyd.; Goodall, Sandra.Schiefelbein, Jill.Goodall, H. Lloyd.",658.45 Go646B, Business Communication,"Wadsworth Cengage Learning,",2010,0,https://libswu.on.worldcat.org/oclc/727357262
757147691,The business writer's handbook /,"Alred, Gerald J.; Brusaw, Charles T.Oliu, Walter E.",651.75 Al459B 2012, Business Communication,"Bedford/St. Martins,",2012,0,https://libswu.on.worldcat.org/oclc/757147691
760289812,Effective international business communication /,"Dignen, Bob.; McMaster, Ian.",658.45 Di575E 2013, Business Communication,"Collins,",2013,1,https://libswu.on.worldcat.org/oclc/760289812
773211718,English for work /,Sucharat Rimkeeratikul.,428 Su942E, Business Communication,"Thammasat University Press,",1995,0,https://libswu.on.worldcat.org/oclc/773211718
773211718,English for work /,Sucharat Rimkeeratikul.,428 Su942E  c.2, Business Communication,"Thammasat University Press,",1995,0,https://libswu.on.worldcat.org/oclc/773211718
773211718,English for work /,Sucharat Rimkeeratikul.,428 Su942E  c.5, Business Communication,"Thammasat University Press,",1995,0,https://libswu.on.worldcat.org/oclc/773211718
773234742,English for work /,Sucharat Rimkeeratikul.,428 Su942E 1997, Business Communication,"Thammasat University Press,",1997,0,https://libswu.on.worldcat.org/oclc/773234742
773234742,English for work /,Sucharat Rimkeeratikul.,428 Su942E 1997  c.2, Business Communication,"Thammasat University Press,",1997,0,https://libswu.on.worldcat.org/oclc/773234742
793523130,Sending e-mail @nd writing business letters /,"Brittney, Lynn.",651.75 Br862S, Business Communication,"Infinity Books,",2001,0,https://libswu.on.worldcat.org/oclc/793523130
812244829,การทำบันทึกเสนอ การจดรายงานการประชุม การเขียนคำกล่าวในพิธี /,ประวีณ ณ นคร.; สวัสดิการสำนักงาน ก.พ.,808.066 ป381ก 2552, Business Communication,"สวัสดิการสำนักงาน ก.พ.,",2009,0,https://libswu.on.worldcat.org/oclc/812244829
813301137,Business communication essentials /,"Bovée, Courtland L.; Thill, John V.",651.7 Bo783B 2014, Business Communication,"Pearson,",2014,0,https://libswu.on.worldcat.org/oclc/813301137
852681918,How to deliver a TED talk :secrets of the world's most inspiring presentations /,"Donovan, Jeremey.",658.452 Do687H 2014, Business Communication,"McGraw-Hill Education,",2014,0,https://libswu.on.worldcat.org/oclc/852681918
860794788,การเขียนเชิงธุรกิจ /,เรไร ไพรวรรณ์,808.06665 ร766ก, Business Communication,"มหาวิทยาลัยราชภัฏธนบุรี,",2008,0,https://libswu.on.worldcat.org/oclc/860794788
860795668,โต้ตอบ สื่อสาร การเขียนจดหมายธุรกิจ อังกฤษ-ไทย /,Mr. Letter.,651.75 ม594ต 2553, Business Communication,"Dดี,",2010,0,https://libswu.on.worldcat.org/oclc/860795668
860795668,โต้ตอบ สื่อสาร การเขียนจดหมายธุรกิจ อังกฤษ-ไทย /,Mr. Letter.,929.7593 ก385จ 2558, Business Communication,"Dดี,",2010,0,https://libswu.on.worldcat.org/oclc/860795668
868121199,Communicative business English /,Kusumal Rajatanun.; มหาวิทยาลัยธรรมศาสตร์.,428.202465 Ku97C 1993, Business Communication,"Thammasat University Press,",1993,0,https://libswu.on.worldcat.org/oclc/868121199
872331616,Writing for effective business communication /,Napat Woothiwongsa.,808.066651 Na195W, Business Communication,"Bangkok University Press,",2010,0,https://libswu.on.worldcat.org/oclc/872331616
875098633,The presentation lab :learn the formula behind powerful presentations /,"Morton, Simon,",658.45 Mo891P 2014, Business Communication,"Wiley,",2014,0,https://libswu.on.worldcat.org/oclc/875098633
879489414,คำถามฉุกคิด :เปลี่ยนชีวิตทั้งคนถามและคนตอบ /,"โซเบล, แอนดรูว์,; ปานัส, เจรอลด์; พรรณี ชูจิรวงศ์",650.13 ซ912ค 2556, Business Communication,"วีเลิร์น,",2013,0,https://libswu.on.worldcat.org/oclc/879489414
882267036,การจัดการประชุม /,อรพรรณ์ โขมะสรานนท์; มหาวิทยาลัยมหิดล.,658.456 อ332ก 2554, Business Communication,"ภาควิชาจุลชีววิทยา คณะเภสัชศาสตร์ มหาวิทยาลัยมหิดล,",2011,0,https://libswu.on.worldcat.org/oclc/882267036
882294183,จดหมายธุรกิจฉบับใหม่ = A New business letter /,กิตติ เวชสุภาพงษ์,651.75 ก672จ 2556, Business Communication,"Minibear,",2013,0,https://libswu.on.worldcat.org/oclc/882294183
900800526,Business communication :a functional approach /,Sumtum Parisuthiman.,658.453 Su956B 2013  c.2, Business Communication,"Thammasat University,",2013,0,https://libswu.on.worldcat.org/oclc/900800526
913538712,Business correspondence :essentials of communication /,"Fruehling, Rosemary T.; Bouchard, Sharon.Fruechling, Rosemary T.",808.066651 Fr944B, Business Communication,"Gregg Division/McGraw-Hill,",1987,0,https://libswu.on.worldcat.org/oclc/913538712
927270511,ระดมจิตใจ :รูปแบบการประชุมในยุคที่ 3 /,ปกรณ์ สุวรรณประภา.,"658,456 ป117ร 2558", Business Communication,"มูลนิธิวิถีสุข์,",2015,0,https://libswu.on.worldcat.org/oclc/927270511
951917032,"คัมภีร์เขียนอังกฤษธุรกิจขั้นเทพ =Model business letters, emails and other business documents, 7th edition /","เทย์เลอร์, เชอร์ลีย์; อธิธัช สาทรกิจ",808.066651 ท637ค 2558, Business Communication,"บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),",2015,0,https://libswu.on.worldcat.org/oclc/951917032
956302121,เขียนจดหมายธุรกิจอย่างมือโปร /,"ไลฟ์เอบีซี.; สาลี่ เกี่ยวการค้า,; ภัทรพร สหวัฒนพงศ์,; จวงซีจง.",651.75 ล988ข, Business Communication,"อินสปายร์,",2010,0,https://libswu.on.worldcat.org/oclc/956302121
974630931,Business communication :a functional approach /,Sumtum Parisuthiman.,658.453 Su956B, Business Communication,"Thammasat University Press,",2017,0,https://libswu.on.worldcat.org/oclc/974630931
974630931,Business communication :a functional approach /,Sumtum Parisuthiman.,658.453 Su956B 2017, Business Communication,"Thammasat University Press,",2017,0,https://libswu.on.worldcat.org/oclc/974630931
987420086,Writing for effective business communication /,Napat Woothiwongsa.,808.0665 Na195W 2015, Business Communication,"Bangkok University Press,",2015,0,https://libswu.on.worldcat.org/oclc/987420086
988818010,Basic business communication :skills for empowering the internet generation /,"Lesikar, Raymond Vincent,; Flatley, Marie Elizabeth,",651.74 Le629B, Business Communication,"McGraw-Hill/Irwin,",2005,0,https://libswu.on.worldcat.org/oclc/988818010
988818010,Basic business communication :skills for empowering the internet generation /,"Lesikar, Raymond Vincent,; Flatley, Marie Elizabeth,",651.74 Le629B  c.2, Business Communication,"McGraw-Hill/Irwin,",2005,0,https://libswu.on.worldcat.org/oclc/988818010
988827553,Communicating at work :principles and practices for business and the professions /,"Adler, Ronald B.; Elmhorst, Jeanne Marquardt,",658.452 Ad237C 2005, Business Communication,"McGraw-Hill,",2005,0,https://libswu.on.worldcat.org/oclc/988827553
1037809618,The only business writing book you'll ever need /,"Brown, Laura",808.06665 Br878O 2019, Business Communication,"W. W. Norton & Company,",2019,0,https://libswu.on.worldcat.org/oclc/1037809618
1078953391,Taking minutes of meetings :how to take efficient notes that make sense and support meetings that matter /,"Gutmann, Joanna,",651.77 Gu984T 2019, Business Communication,"Kogan Page Limited,",2019,0,https://libswu.on.worldcat.org/oclc/1078953391
1135265225,Presentations in english :find your voice as a presenter /,"Williams, Erica J.",658.452 Wi722P, Business Communication,"Macmillan Education,",2008,0,https://libswu.on.worldcat.org/oclc/1135265225
1435608640,พรีเซนต์ฉลาด ต้องเน้นภาพ ไม่เน้นพูด /,"มาเอดะ, คามาริ.; โยซุเกะ.",658.452 ม289พ 2567, Business Communication,"วีเลิร์น,",2024,0,https://libswu.on.worldcat.org/oclc/1435608640
1465474302,English for work /,Sucharat Rimkeeratikul.,651.7 Su942E, Business Communication,"Thammasat University Press,",2008,0,https://libswu.on.worldcat.org/oclc/1465474302
1465487652,"English for business100 1 Daugeras, Dominique 245 10 English for business and economics /|cby Dominique Daugeras, Patricia Janiaud-Powell 260 [Paris, Fr.] :|bNathan Technique,|c1982 300 235 p. :|bill. ;|c24 cm 650 0 English language|xStudy and teaching|xFrench speakers 650 0 English language|xBusiness English.",N/A,651.75 Ma152E 1982, Business Communication,N/A,1982,0,https://libswu.on.worldcat.org/oclc/1465487652
1465500790,Communicating for success /,"Hyden, Janet S.; Jordan, Anne.Steinauer, Mary Helen.",651.7 Hy995C 2006, Business Communication,"South-Western/Cengage Learning,",2006,0,https://libswu.on.worldcat.org/oclc/1465500790
1465524974,Business communication essentials /,"Bovee, Courtland L.; Thill, John V.",651.7 Bo783B 2007, Business Communication,"Pearson / Prentice Hall,",2007,0,https://libswu.on.worldcat.org/oclc/1465524974
