,,,,,,,,,
OCLC Number,Title,Author Name,Publisher Name,Publication Date,Title ISSN,Title eISSN,Conspectus Subject,Material Subformat,URL
48530106,Publishing research quarterly.,N/A,"Transaction Publishers,Springer",1985,N/A,1936-4792, Books & Reading,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/48530106
568687212,The back page /,"Ott, Bill.","American Library Association,",2009,N/A,N/A, Books & Reading,EBOOKS,https://libswu.on.worldcat.org/oclc/568687212
644147222,Book research quarterly.,University of Scranton.Transaction Periodicals Consortium.,"Transaction Periodicals Consortium, Rutgers University,",1985,N/A,N/A, Books & Reading,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/644147222
809589035,New England Reading Association newsletter.,N/A,New England Reading Association,2011,N/A,N/A, Books & Reading,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/809589035
1036244793,GREEN BOOKSHOPRECOMMENDED READING FOR DOCTORS AND OTHERS FROM THE MEDICAL JOURNAL EDUCATION FOR PRIMARY CARE.,"SALINSKY, JOHN;HEATH, IONA;WALTERS, MATTHEW.","CRC Press,",2018,N/A,N/A, Books & Reading,EBOOKS,https://libswu.on.worldcat.org/oclc/1036244793
1117837615,"How We ReadTales, Fury, Nothing, Sound /","Wilson, Anna.; Schut, Kirsty.Hsy, Jonathan Horng.Piuma, Chris.Jordan, Jennifer.Heller, Kaitlin.Hammer, Jessica.Dumitrescu, Irina.Conklin Akbari, Suzanne.Bryant, Brantley.Brouillard, Lochin.Bahr, Stephanie.Atiya, Alexandra.","Punctum Books,",2019,N/A,N/A, Books & Reading,EBOOKS,https://libswu.on.worldcat.org/oclc/1117837615
47180329,Business communication quarterly.,"Association for Business Communication (U.S.),",Sage Publications,1995,N/A,1552-4191, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/47180329
48070482,The Journal of business communication.,"Association for Business Communication (U.S.),",Sage Publications,1973,N/A,1552-4582, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/48070482
51796726,Crystal reports 9 :the complete reference /,"Peck, George","McGraw-Hill/Osborne,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/51796726
52344376,"Bids, tenders & proposals /","Lewis, Harold,","Kogan Page,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/52344376
52687145,Business writing for results :how to create a sense of urgency and increase response to all of your business communications /,"Cleland, Jane K.","McGraw-Hill,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/52687145
53094727,Write to the point :how to communicate in business with style and purpose /,"Iacone, Salvatore J.; Brandon, Jodi.","Career Press,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/53094727
53204735,Crystal Reports /,"Peck, George","McGraw-Hill/Osborne,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/53204735
53243927,"Writing at work :a guide to better writing in administration, business and management /","Barrass, Robert.","Routledge,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/53243927
54864132,"How to prepare, stage, and deliver winning presentations /","Leech, Thomas.; Leech, Thomas.","American Management Association,",2004,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/54864132
54936968,Business across cultures /,"Trompenaars, Alfons.; Woolliams, Peter.","Capstone,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/54936968
54938325,Death by meeting :a leadership fable-- about solving the most painful problem in business /,"Lencioni, Patrick,","Jossey-Bass,",2004,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/54938325
62858327,"Proceedings, 2005 International Symposium on Collaborative Technologies and Systems :May 15-20, 2005, Adam's Mark Hotel, Saint Louis, Missouri, USA /","International Symposium on Collaborative Technologies and Systems; McQuay, William.Smari, Waleed W.Kim, Seung Yun,; Institute of Electrical and Electronics Engineers.IEEE Computer Society.IEEE Systems, Man, and Cybernetics Society.","IEEE Computer Society,",2005,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/62858327
123532644,Presentations.,EBSCO Publishing (Firm),"Lakewood Publications,",1993,N/A,1072-7531, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/123532644
173502857,Video communications :the whole picture /,"Wilcox, James R.; Gibson, David K.Wilcox, James R.","CMP Books,",2005,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/173502857
270933398,Writing marketing :literary lessons from academic authorities /,"Brown, Stephen,","SAGE,",2005,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/270933398
272139900,Journal of business and technical communication.,N/A,CSA.,1999,N/A,N/A, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/272139900
480613609,"Corporate communications :convention, complexity, and critique /","Christensen, Lars Thøger,; Morsing, Mette.Cheney, George.","Sage Pub.,",2008,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/480613609
712119338,Fundamentals of writing for marketing and public relations :a step-by-step guide for quick and effective results /,"Mizrahi, Janet.; Business Expert Press.","Business Expert Press,",2010,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/712119338
774870173,Corporate communication :tactical guidelines for strategic practice /,"Goodman, Michael B.,; Hirsch, Peter B.; Business Expert Press.","Business Expert Press,",2012,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/774870173
793979297,The diary :100 days and lessons in corporate communications /,"Maier, Simon.","Marshall Cavendish Business,",2012,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/793979297
811117870,"Improving writing skills :memos, letters, reports, and proposals /","Berger, Arthur Asa,","Sage Publications,",1993,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/811117870
811153672,"Bids, proposals and tenders :succeeding with effective writing.","Nickson, David.","BCS, The Chartered Institute for IT,",2012,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/811153672
812620051,"Enabling Technologies, 6th Workshop :Infrastructure for Collaborative Enterprises.",N/A,"IEEE Computer Society Press,",1997,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/812620051
828868904,How to write reports & proposals /,"Forsyth, Patrick.","Kogan Page Limited,",2013,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/828868904
828869690,Develop your presentation skills /,"Theobald, Theo,","Kogan Page Ltd,",2013,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/828869690
842840238,Taking minutes of meetings /,"Gutmann, Joanna,","Kogan Page Limited,",2013,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/842840238
847514253,International journal of business communication.,N/A,"Sage Publications,",2014,N/A,2329-4892, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/847514253
847515052,Business and professional communication quarterly.,"Association for Business Communication (U.S.),","[Sage Publications],",2014,N/A,2329-4922, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/847515052
875098633,The presentation lab :learn the formula behind powerful presentations /,"Morton, Simon,","Wiley,",2014,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/875098633
893627117,"Bilingual guide to business and professional correspondence, German-English =Zweisprachen-Briefsteller für das Geschäft und den Beruf, Englisch-Deutsch /","Harvard, Joseph,","Pergamon Press,",1965,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/893627117
895700078,Improve your communication skills /,"Barker, Alan,","Kogan Page Ltd,",2013,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/895700078
990612825,"Persuasive Business Proposals :Writing to Win More Customers, Clients, and Contracts.","Sant, Tom.","AMACOM,",2003,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/990612825
1058424088,Business communications review.,N/A,[publisher not identified],1971,N/A,0162-3885, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1058424088
1058476659,The AMA handbook of business documents :guidelines and sample documents that make business writing easy /,"Wilson, K.; Wauson, Jennifer.","AMACOM, American Management Association,",2011,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1058476659
1116175652,Communication world,International Association of Business Communicators.,"International Association of Business Communicators,",1994,N/A,0744-7612, Business Communication,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1116175652
1240582943,Impactful Communication :Communicate to Conquer.,"Sethi, Deepa.","SAGE Publications,",2021,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1240582943
1281707862,How to write successful business & management essays /,"Tissington, Patrick,; Hasel, Markus,",": Sage,",2017,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1281707862
1284919707,Writing on the job :best practices for communicating in the digital age /,"Coven, Martha B.,","Princeton University Press,",2022,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1284919707
1309959838,"Globalisation, Geopolitics, and Gender in Professional Communication /","Mullany, Louise,Schnurr, Stephanie,","Routledge,",2022,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1309959838
1350437907,The a-ha! method :communicating powerfully in a time of distraction /,"Zichermann, Gabe,","Rowman & Littlefield,",2023,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1350437907
1381183041,Communication climate at work :fostering friendly friction in organisations /,"Kvalnes, Øyvin,","Palgrave Macmillan,",2023,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1381183041
1410138541,Kommunikation und Bildverarbeitung in der AutomationAusgewählte Beiträge der Jahreskolloquien KommA und BVAu 2018.,"Jasperneite, Jürgen.; Jasperneite, Jürgen.Lohweg, Volker.Lohweg, Volker.",Springer Nature,2020,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1410138541
1410140246,Kommunikation und Bildverarbeitung in der AutomationAusgewählte Beiträge der Jahreskolloquien KommA und BVAu 2020.,"Jasperneite, Jürgen.; Jasperneite, Jürgen.Lohweg, Volker.Lohweg, Volker.",Springer Nature,2022,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1410140246
1411228996,"Video conferencing :infrastructures, practices, aesthetics /","Volmar, Axel,Moskatova, Olga,Distelmeyer, Jan,","Transcript Verlag,",2023,N/A,N/A, Business Communication,EBOOKS,https://libswu.on.worldcat.org/oclc/1411228996
298788759,Supporting language and communication :a guide for school support staff /,"Sage, Rosemary","Paul Chapman,",2006,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/298788759
606834160,Transmediation in the classroom :a semiotics-based media literacy framework /,"Semali, Ladislaus,","P. Lang,",2002,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/606834160
607619091,Dialogue is not just talk :a new ground for educational leadership /,"Shields, Carolyn M.; Edwards, Mark M.,","P. Lang,",2005,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/607619091
648159353,"Communicating in school science :groups, tasks, and problem solving, 5-16 /","Bentley, Di.; Watts, Mike.","Falmer Press,",1992,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/648159353
797817928,Managing effective relationships in education /,"Cardno, Carol E. M.","SAGE,",2012,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/797817928
860441939,Exploring talk in school /,"Mercer, Neil.Hodgkinson, Steve.","SAGE,",2008,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/860441939
885123029,Foucault and a Politics of Confession in Education.,"Fejes, Andreas,; Nicoll, Katherine.","Taylor and Francis,",2014,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/885123029
900540186,"The multigenerational workplace :communicate, collaborate, and create community /","Abrams, Jennifer,; Von Frank, Valerie,","Corwin,",2014,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/900540186
955187673,Lehrkraft-Eltern-Interaktionen am Elternsprechtag :eine gesprächs- und gattungsanalytische Untersuchung /,"Wegner, Lars,","De Gruyter,",2016,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/955187673
961181747,Teacher voice :amplifying success /,"Quaglia, Russell J.,; Lande, Lisa L.,","Corwin, a SAGE Company,",2017,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/961181747
1181841301,"The Astonishing Power of Storytelling  :Leading, Teaching, and Transforming in a New Way.","Garmston, Robert John.","SAGE Publications,",2018,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1181841301
1282775763,"Morning Classroom Conversations :Build Your Students′ Social-Emotional, Character, and Communication Skills Every Day /","Elias, Maurice J.,; Murphy, Nina A.,McClain, Kellie A.,","Corwin,",2021,N/A,N/A, Communication in Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1282775763
52841407,"Telematic embrace :visionary theories of art, technology, and consciousness /","Ascott, Roy.; Shanken, Edward A.,","University of California Press,",2003,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/52841407
500579282,Digital art masters.,3DTotal.com (Firm),"Elsevier/Focal,",2009,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/500579282
528550726,Digital painting techniques.,3DTotal.com (Firm),"Elsevier ;Focal Press,",2009,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/528550726
652759269,Digital art masters.,3DTotal.com (Firm),"Focal,",2010,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/652759269
794665989,Digital painting techniques.,"Greenway, Tom.; 3DTotal.com (Firm)","Focal Press/Elsevier,",2009,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/794665989
981021015,2016 IEEE International Workshop on Mixed Reality Art (MRA).,"IEEE International Workshop on Mixed Reality Art; Institute of Electrical and Electronics Engineers,; IEEE Virtual Reality Conference","IEEE,",2016,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/981021015
1049173611,"ICDAMT, International Conference on Digital Arts, Media and Technology.25-28 Feb 2018, University of Phayao, Chiangrai Campus, Thailand.","ICDAMT (Conference); Mahāwitthayālai Phayao,IEEE Thailand Section,Electrical Engineering/Electronics, Computer, Telecommunications, and Information Technology Association (Thailand),Institute of Electrical and Electronics Engineers,","IEEE,",2018,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1049173611
1067240836,Digital art masters /,3DTotal.com (Firm),"Focal Press,",2007,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1067240836
1103713329,"ECTI DAMT & NCON 2019 :the 4th International Conference on Digital Arts, Media and Technology and 2nd ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering : January 30 - February 2, 2019, Nan, Thailand.","ICDAMT (Conference); Electrical Engineering/Electronics, Computer, Telecommunications, and Information Technology Association (Thailand).IEEE Thailand Section.Institute of Electrical and Electronics Engineers,; ECTI-NCON (Conference)","IEEE,",2019,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1103713329
1114282729,"High-tech trash :glitch, noise, and aesthetic failure /","Kane, Carolyn L.,","University of California Press,",2019,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1114282729
1159139667,"DAMT & NCON 2020 :International Conference on Digital Arts, Media and Technology (DAMT) and ECTI Northern Section Conference on Electrical, Electronics, Computer and Telecommunications Engineering (NCON) : 11-14 March 2020 at Pattaya, Thailand.","ICDAMT (Conference); Electrical Engineering/Electronics, Computer, Telecommunications, and Information Technology Association (Thailand).IEEE Thailand Section.Institute of Electrical and Electronics Engineers,; ECTI-NCON (Conference)","IEEE,",2020,N/A,N/A, Computer Art. Digital Art,EBOOKS,https://libswu.on.worldcat.org/oclc/1159139667
