,,,,,,,,,
OCLC Number,Title,Author Name,Publisher Name,Publication Date,Title ISSN,Title eISSN,Conspectus Subject,Material Subformat,URL
6933446,Economics of education review.,N/A,"Ballinger Pub. Co.,Pergamon Press",1981,0272-7757,N/A, Economics of Education,N/A,https://libswu.on.worldcat.org/oclc/6933446
44003380,Education economics.,N/A,Carfax International Publishers,1993,N/A,1469-5782, Economics of Education,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/44003380
52860942,Closing the gap in education and technology /,"De Ferranti, David M.","World Bank,",2003,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/52860942
252868784,"Economic geography of higher education :knowledge, infrastructure and learning regions /","Rutten, Roel,Boekema, Frans.Kuijpers, Elsa.","Routledge,",2003,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/252868784
252881366,Markets for schooling :an economic analysis /,"Adnett, Nick.; Davies, Peter,","Routledge,",2002,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/252881366
463437065,Journal of sustainability education.,Prescott College.,Institute for Sustainable Social Change and Prescott College,2010,N/A,2151-7452, Economics of Education,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/463437065
682069916,Neoliberalism and education reform /,"Ross, E. Wayne,Gibson, Rich","Hampton Press,",2007,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/682069916
703926808,Financing higher education and economic development in East Asia /,"Armstrong, Shiro.Chapman, B. J.; ANU E Press.","ANU E Press,",2011,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/703926808
777997045,Saving Higher Education in the Age of Money.,"Engell, James,; Dangerfield, Anthony,; Education Research Complete.","University Press of Virginia,",2005,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/777997045
871786638,Connection.,N/A,New England Board of Higher Education.,1986,N/A,0895-6405, Economics of Education,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/871786638
913695470,Bildung und Wirtschaftswachstum /,"Bodenhöfer, Hans-Joachim,Weizsäcker, Robert K. von.","Duncker & Humblot,",1998,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/913695470
948286192,Heterogenität in pädagogischen Handlungsfeldern :Perspektiven. Befunde. Konzeptionelle Ansätze /,"Hollick, Danièle.; Neißl, Marianne.Kramer, Martin.Reitinger, Johannes.","Kassel University Press GmbH,",2015,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/948286192
994399979,Emerging Markets and Higher Education.,"McMullen, Matthew S.; Mauch, James E.Donnorummo, Bob.","Taylor and Francis,",2000,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/994399979
1006129645,New England journal of higher education.,N/A,New England Board of Higher Education.,,N/A,N/A, Economics of Education,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1006129645
1066653746,Universities in the Marketplace :The Commercialization of Higher Education.,"Bok, Derek,",Princeton University Press,2009,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1066653746
1127220389,Ökonomie der Hochschule I.,"Helberger, Christof.","Duncker & Humblot,",1989,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1127220389
1155603034,"Ausbildungskosten, Ausbildungsförderung und Familienlastenausgleich.:Eine ökonomische Analyse unter Berücksichtigung rechtlicher Rahmenbedingungen. /","Dohmen, Dieter.","DUNCKER & HUMBLOT,",1999,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1155603034
1298389379,"Bildung, Bildungsfinanzierung und Einkommensverteilung II.","Lüdeke, Reinar.","Duncker & Humblot,",2022,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1298389379
1299387274,"Bildung, Bildungsfinanzierung und Einkommensverteilung I..","Lüdeke, Reinar.","Duncker & Humblot,",2022,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1299387274
1305845268,Ökonomie der Hochschule II..,"Helberger, Christof.","Duncker & Humblot,",1991,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1305845268
1440310848,The New England journal of higher education.,New England Board of Higher Education.,"New England Board of Higher Education,",2007,N/A,1938-5978, Economics of Education,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/1440310848
1528574401,Learning as development :rethinking international education in a changing world /,"Wagner, Daniel A.,","Routledge, Taylor & Francis Group,",2026,N/A,N/A, Economics of Education,EBOOKS,https://libswu.on.worldcat.org/oclc/1528574401
41552163,School psychology international,"International School Psychology Association,",School Psychology Publishing Co.SAGE,1979,N/A,1461-7374, Educational Psychology,EJOURNALS/EMAGAZINES,https://libswu.on.worldcat.org/oclc/41552163
