,,,,,,,,,
OCLC Number,Title,Author Name,Publisher Name,Publication Date,Title ISSN,Title eISSN,Conspectus Subject,Material Subformat,URL
1132417278,Patch testing and prick testing :a practical guide official publication of the ICDRG /,"Lachapelle, Jean-Marie,Maibach, Howard I.,; International Contact Dermatitis Research Group,","Springer,",2020,N/A,N/A, Contact Dermatitis,EBOOKS,https://libswu.on.worldcat.org/oclc/1132417278
871191843,"Fast facts about pressure ulcer care for nurses :how to prevent, detect, and resolve them in a nutshell /","Dziedzic, Mary Ellen,","Springer Publishing Company,",2014,N/A,N/A, Dermatological Nursing,EBOOKS,https://libswu.on.worldcat.org/oclc/871191843
883632077,Dermatology for the advanced practice nurse /,"Lyons, Faye,; Ousley, Lisa Ellen,","Springer Publishing Company, LLC,",2015,N/A,N/A, Dermatological Nursing,EBOOKS,https://libswu.on.worldcat.org/oclc/883632077
53171366,"Acne :a bibliography, medical dictionary, and annotated guide to internet research references /","Parker, James N.Parker, Philip M.,","ICON Group International,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53171366
53795200,"Atopic dermatitis :a medical dictionary, bibliography, and annotated research guide to internet references /","Parker, James N.Parker, Philip M.,","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53795200
53891963,"Hair loss :a medical dictionary, bibliography, and annotated research guide to Internet references /","Parker, Philip M.Parker, James N.","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53891963
53892173,"Jock itch :a medical dictionary, bibliography and annotated research guide to Internet references /","Parker, James N.Parker, Philip M.","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53892173
53915494,"Ringworm :a medical dictionary, bibliography, and annotated research guide to Internet references /","Parker, James N.,Parker, Philip M.,","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53915494
53987658,"Eczema :a medical dictionary, bibliography, and annotated research guide to internet references /","Parker, James N.Parker, Philip M.,","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53987658
53989552,"Psoriasis :a medical dictionary, bibliography, and annotated research guide to Internet references /","Parker, James N.Parker, Philip M.,","ICON Health,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/53989552
54029190,"Athlete's foot :a medical dictionary, bibliography, and annotated research guide to internet references /","Parker, James N.Parker, Philip M.,","ICON Health Publications,",2003,N/A,N/A, Dermatologic Diseases,EBOOKS,https://libswu.on.worldcat.org/oclc/54029190
