,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
8999,Developing comprehension :including critical reading /,"Dawson, Mildred A.; International Reading Association.",418 De489, Theory & Practice of Education,"[International Reading Association],",1968,0,https://libswu.on.worldcat.org/oclc/8999
67626,Individualizing instruction in reading and social studies :selected readings on programs and practices /,"Howes, Virgil M.,",371.394 Ho786I, Theory & Practice of Education,Macmillan,1970,0,https://libswu.on.worldcat.org/oclc/67626
78553,Educational psychology;instruction and behavioral change,"Di Vesta, Francis J.; Thompson, George Greene,",154 Di624E, Educational Psychology,Appleton-Century-Crofts,1970,0,https://libswu.on.worldcat.org/oclc/78553
92189,Learning theory and mental development,"Estes, William K.",154.4 Es79, Educational Psychology,"Academic Press,",1970,0,https://libswu.on.worldcat.org/oclc/92189
117820,Piagetian tests for the primary school /,"Fogelman, K. R.; National Foundation for Educational Research in England and Wales.",372.1264 Fo655P, Educational Psychology,"National Foundation for Educational Research,",1970,0,https://libswu.on.worldcat.org/oclc/117820
125656,Mastery learning: theory and practice.,"Block, James H.,Airasian, Peter W.",154.4 Bl651M  c.4, Educational Psychology,"Holt, Rinehart and Winston",1971,0,https://libswu.on.worldcat.org/oclc/125656
129462,Training creative thinking,"Davis, Gary A.,; Scott, Joseph A.,",153.35 Da354T  c.2, Educational Psychology,"Holt, Rinehart and Winston",1971,0,https://libswu.on.worldcat.org/oclc/129462
129462,Training creative thinking,"Davis, Gary A.,; Scott, Joseph A.,",153.35 Da354T  c.3, Educational Psychology,"Holt, Rinehart and Winston",1971,0,https://libswu.on.worldcat.org/oclc/129462
142921,Effective teaching strategies with the Behavioral Outcomes Approach /,"Gerhard, Muriel,",371.3 Ge499E, Educational Psychology,"Parker Publishing Company, Inc.,",1971,0,https://libswu.on.worldcat.org/oclc/142921
150092,"The teaching of reading and writing;an international survey,","Gray, William S.; Staiger, Ralph C.",428.07 Gr783T 1969, Theory & Practice of Education,UNESCO,1969,0,https://libswu.on.worldcat.org/oclc/150092
165923,"Teaching in the outdoors,","Hammerman, Donald R.; Hammerman, William M.,",371.36 Ha224T  c.2, Theory & Practice of Education,Burgess Pub. Co.,1964,0,https://libswu.on.worldcat.org/oclc/165923
175380,Higher education: some newer developments /,"Baskin, Samuel,; Association for Higher Education.",378.73 Ba315H  c.2, History of Education,McGraw-Hill,1965,0,https://libswu.on.worldcat.org/oclc/175380
180209,"The teacher's personal development;an introduction to self-awareness and interpersonal relations,","Bruce, William French,; Holden, A. John,",371.1 Br, Theory & Practice of Education,H. Holt,1957,0,https://libswu.on.worldcat.org/oclc/180209
180442,Teach me! :A photographic essay on the joys and challenges of teaching and learning /,"Purcell, Carl,",371.100683 Su942J, Theory & Practice of Education,"National Education Association of the United States, Publications Division,",1966,0,https://libswu.on.worldcat.org/oclc/180442
180861,Unit teaching in the elementary school.,"Hanna, Lavone A.",372 Ha, Theory & Practice of Education,"Rinehart,",1955,0,https://libswu.on.worldcat.org/oclc/180861
180861,Unit teaching in the elementary school.,"Hanna, Lavone A.",372 Ha  c.2, Theory & Practice of Education,"Rinehart,",1955,0,https://libswu.on.worldcat.org/oclc/180861
181038,"Read faster, and get more from your reading.","Smith, Nila Banton.",428.4 Sm  c.3, Theory & Practice of Education,Prentice-Hall,1958,0,https://libswu.on.worldcat.org/oclc/181038
181187,Reading improvement for adults /,"Leedy, Paul D.",428.07 Le  c.2, Theory & Practice of Education,"McGraw-Hill,",1956,0,https://libswu.on.worldcat.org/oclc/181187
181330,Storytelling.,"Tooze, Ruth.",027.6 To, Theory & Practice of Education,"Prentice-Hall,",1959,0,https://libswu.on.worldcat.org/oclc/181330
181407,Teaching language as communication to children /,"May, Frank B.",407 Ma, Theory & Practice of Education,Charles E. Merrill Books,1967,0,https://libswu.on.worldcat.org/oclc/181407
181665,Reflective thinking:the method of education,"Hullfish, H. Gordon; Smith, Philip G.,",370.1 Hu913R 1961, Educational Psychology,"Dodd, Mead,",1961,0,https://libswu.on.worldcat.org/oclc/181665
181903,Outdoor education,"Smith, Julian W.",371.36 Sm651O, Theory & Practice of Education,"Prentice-Hall,",1963,0,https://libswu.on.worldcat.org/oclc/181903
181903,Outdoor education,"Smith, Julian W.",371.36 Sm651O  c.2, Theory & Practice of Education,"Prentice-Hall,",1963,0,https://libswu.on.worldcat.org/oclc/181903
181985,The psychology of learning /,"Garry, Ralph,",154 Ga36P  c.2, Educational Psychology,"Center for Applied Research in Education,",1963,0,https://libswu.on.worldcat.org/oclc/181985
182905,The psychology of learning in the classroom,"Craig, Robert C.",370.15 Cr886P, Educational Psychology,Macmillan,1966,0,https://libswu.on.worldcat.org/oclc/182905
183593,Teaching reading as a thinking process.,"Stauffer, Russell G.",428 St798T, Theory & Practice of Education,"Harper & Row,",1969,0,https://libswu.on.worldcat.org/oclc/183593
183593,Teaching reading as a thinking process.,"Stauffer, Russell G.",428 St798T  c.2, Theory & Practice of Education,"Harper & Row,",1969,0,https://libswu.on.worldcat.org/oclc/183593
183907,The psychology of meaningful verbal learning :an introduction to school learning /,"Ausubel, David Paul.",154.4 Au938P, Educational Psychology,Grune & Stratton,1963,0,https://libswu.on.worldcat.org/oclc/183907
225712,Fundamentals of reading instruction,"Fitzgerald, James A.,; Fitzgerald, Patricia G.,",428.07 Fi553F  c.2, Theory & Practice of Education,Bruce Pub. Co.,1967,0,https://libswu.on.worldcat.org/oclc/225712
235360,Current readings in educational psychology.,"Lindgren, Henry Clay,; Lindgren, Fredrica,",370.1508 Li745C, Educational Psychology,Wiley,1971,0,https://libswu.on.worldcat.org/oclc/235360
240811,"Discovery and experience:a new approach to training, group work and teaching.","Button, Leslie.",374.2 Bu989D, Educational Psychology,"Oxford University Press,",1971,0,https://libswu.on.worldcat.org/oclc/240811
246628,Teacher and child;a book for parents and teachers,"Ginott, Haim G.",535.332 Br798I  c.2, Theory & Practice of Education,Macmillan,1972,0,https://libswu.on.worldcat.org/oclc/246628
279130,Writing worthwhile behavioral objectives,"Vargas, Julie S.",370.152 Va297W, Educational Psychology,Harper & Row,1972,0,https://libswu.on.worldcat.org/oclc/279130
291144,Teaching reading;a guide to basic principles and modern practices.,"Hildreth, Gertrude Howell,",428.07 Hi, Theory & Practice of Education,Holt,1958,0,https://libswu.on.worldcat.org/oclc/291144
293098,The learning game: strategies for secondary teachers,"Gorow, Frank F.",371.3 Go736L, Educational Psychology,C.E. Merrill Pub. Co.,1972,0,https://libswu.on.worldcat.org/oclc/293098
307204,Movement and creative drama for children.,"Lowndes, Betty.",372 Lo919M, Educational Psychology,"Plays, Inc.",1971,0,https://libswu.on.worldcat.org/oclc/307204
314327,Practical approaches to individualizing instruction :contracts and other effective teaching strategies /,"Dunn, Rita,; Dunn, Kenneth J.,",371.394 Du942P, Theory & Practice of Education,"Parker Pub. Co.,",1972,0,https://libswu.on.worldcat.org/oclc/314327
314327,Practical approaches to individualizing instruction :contracts and other effective teaching strategies /,"Dunn, Rita,; Dunn, Kenneth J.,",371.394 Du942P  c.2, Theory & Practice of Education,"Parker Pub. Co.,",1972,0,https://libswu.on.worldcat.org/oclc/314327
