,,,,,,,,
Item OCLC Number,Title,Author Name,LHR Item Call Number,Conspectus Subject,Publisher Name,Publication Date,Circulation Activity Count,URL
1209980,The economics of recurrent education and training /,"Stoikov, Vladimir.",374 St873E, Economics of Education,"International Labour Office,",1975,0,https://libswu.on.worldcat.org/oclc/1209980
6933446,Economics of education review.,N/A,37-336, Economics of Education,"Ballinger Pub. Co.,Pergamon Press",1981,0,https://libswu.on.worldcat.org/oclc/6933446
9066374,Education and national development :a comparative perspective /,"Fägerlind, Ingemar,; Saha, Lawrence J.",370.19 Fa153E  c.2, Economics of Education,"Pergamon,",1983,0,https://libswu.on.worldcat.org/oclc/9066374
15631866,Education and the national economy /,"Hough, J. R.",338.4737 Ho838E, Economics of Education,"Croom Helm,",1987,0,https://libswu.on.worldcat.org/oclc/15631866
18747904,Education and national development :a comparative perspective /,"Fägerlind, Ingemar,; Saha, Lawrence J.",370.19 Fa153E 1989, Economics of Education,"Pergamon,",1989,0,https://libswu.on.worldcat.org/oclc/18747904
18747904,Education and national development :a comparative perspective /,"Fägerlind, Ingemar,; Saha, Lawrence J.",370.19 Fa153E 1989  c.2, Economics of Education,"Pergamon,",1989,0,https://libswu.on.worldcat.org/oclc/18747904
21303774,The economics of education /,"Cohn, Elchanan.; Geske, Terry G.,",338.4737 Co678E, Economics of Education,"Pergamon Press,",1990,0,https://libswu.on.worldcat.org/oclc/21303774
28213548,The economic value of higher education /,"Leslie, Larry L.; Brinkman, Paul,",338.47378 Lo636E 1993, Economics of Education,"American Council on Education ;Oryx Press,",1993,0,https://libswu.on.worldcat.org/oclc/28213548
29359601,Education for development in Asia /,"Tilak, Jandhyala B. G.",370.95 Ti569E, Economics of Education,"Sage Publications,",1994,0,https://libswu.on.worldcat.org/oclc/29359601
33335238,International encyclopedia of economics of education /,"Carnoy, Martin.",338.4737 In61, Economics of Education,"Pergamon,",1995,0,https://libswu.on.worldcat.org/oclc/33335238
43936884,The emerging markets and higher education :development and sustainability /,"McMullen, Matthew S.,Mauch, James E.,Donnorummo, Robert Pepe,",338.43378 Em53, Economics of Education,"RoutledgeFalmer,",2000,0,https://libswu.on.worldcat.org/oclc/43936884
48613641,The McDonaldization of higher education /,"Hayes, Dennis,Wynyard, Robin,",378 Ma135, Economics of Education,"Bergin & Garvey,",2002,0,https://libswu.on.worldcat.org/oclc/48613641
50245800,Education for human and social development in Brazil.,N/A,379.81 Ed24, Economics of Education,"Ministry of Foreign Relations, Office for Public Information and Affairs,",2000,0,https://libswu.on.worldcat.org/oclc/50245800
54372588,"Higher education in transition economies in Asia :proceedings of the First Workshop on Strategies and Policies in Higher Education Reform in Transition Economies in Asia, Xi'an, China, 7-10 October 1997.",Workshop on Strategies and Policies in Higher Education Reform in Transition Economies in Asia; Unesco.,379.5 Wo926H, Economics of Education,"Unesco Principal Regional Office for Asia and the Pacific,",1998,0,https://libswu.on.worldcat.org/oclc/54372588
60323384,Expanding opportunities and building competencies for young people :a new agenda for secondary education.,World Bank.,373.1 Ex96, Economics of Education,"World Bank,",2005,0,https://libswu.on.worldcat.org/oclc/60323384
85243807,The road not traveled :education reform in the Middle East and North Africa /,"Galal, Ahmed,",379.56 Ro628, Economics of Education,"World Bank,",2008,0,https://libswu.on.worldcat.org/oclc/85243807
166368173,Higher education financing in the new EU member states :leveling the playing field /,"Canning, Mary,; Godfrey, Martin.Holzer-Zelazewska, Dorota.",378.4 Ca225H, Economics of Education,"World Bank,",2007,0,https://libswu.on.worldcat.org/oclc/166368173
182779171,Strategies for sustainable financing of secondary education in Sub-Saharan Africa /,"Lewin, Keith.",379.1130967 Le672S, Economics of Education,"World Bank,",2008,0,https://libswu.on.worldcat.org/oclc/182779171
191760115,The economics of education and training /,"Dustmann, Christian.Fitzenberger, Bernd.Machin, Stephen.",370.113 Ec19, Economics of Education,"Physica,",2008,0,https://libswu.on.worldcat.org/oclc/191760115
219990771,"The economics of education :human capital, family background and inequality /","Checchi, Daniele.",379.2 Ch514E, Economics of Education,"Cambridge University Press,",2008,0,https://libswu.on.worldcat.org/oclc/219990771
367523877,Higher education and work /,"Brennan, John,Kogan, Maurice.Teichler, Ulrich.",338.473784 Hi638, Economics of Education,"J. Kingsley Publishers,",1995,0,https://libswu.on.worldcat.org/oclc/367523877
711960086,Planning education for economic and social development /,"Parnes, Herbert S.; Mediterranean Regional Project.",370 Pl712, Economics of Education,"Organisation for Economic Co-operation and Development,",1962,0,https://libswu.on.worldcat.org/oclc/711960086
